# ID ICD ERR ston pr alpha
5966 0.0580075120898 0.00391492640448 19.2711325847 6 0.473081820868
11695 0.0253680933172 0.00320444451364 113.021969393 7 0.603591133641
12910 0.0596963876581 0.0107037472181 8.59518756659 12 1.27229610333
15271 0.0276349350496 0.00106644275904 58.1003281297 10 1.13115674025
26788 0.361421582451 0.0167784328505 4.78120384042 12 3.05842364484
6177 0.0404518617488 0.00425691013145 26.612428045 10 0.643239646238
17780 0.0278232872076 0.0153010906245 14.5906055442 10 0.825471527992
27771 0.618042264094 0.0658832381805 7.13265703671 18 0.307375209637
1563 0.118487173755 0.0215453546668 12.4346584249 13 1.58488378482
11823 0.565811475906 0.0248956881868 3.44449506412 8 9.68657801985
26596 0.558886973267 0.00367558547318 15.1460065195 25 1.88178927444
8332 0.0571328184997 0.00551376281033 15.4478681612 8 1.35049638303
7490 0.0255593528999 0.000105201440976 104.925053385 11 0.855407626771
6404 0.1020226809 0.0141503892132 13.7939695089 10 0.746877937215
2490 0.999724669718 0.0263596740832 4.30063908765 8 -0.0840959372379
26729 0.0846475624186 0.00526744165073 16.4597460317 12 0.693403702474
8607 0.055075101843 0.0126484694513 8.01766523524 6 1.67406034447
380 -0.0110609741832 0.0178461854886 12.9860190379 10 0.701264300373
2887 0.024148856819 0.00232536097521 33.9000251533 8 0.747062739477
18038 0.250995746092 0.0161699684556 13.4200883056 11 0.735643159402
10685 0.100277553917 0.0106113853495 9.50872354417 9 1.95108825198
4047 0.404431656297 0.0333055406528 5.70960058408 12 0.541453229941
17885 0.0346748712269 0.00899319321695 16.2112598814 11 0.79750441946
3436 0.0406192341422 0.0109770573531 14.3358592929 6 0.860268937866
2285 0.0656256860404 0.00453995051737 26.7372182725 11 1.54037509405
22588 0.205183533975 0.0134525103666 10.7036753919 11 0.703684847058
6368 0.010777179183 0.00704501165861 11.9160272405 9 1.16534354441
12530 0.0295716861412 0.00531860027744 26.9093787634 7 0.680278935689
19424 0.32201979531 0.0128568930403 9.85773395251 19 0.850932664715
23893 0.205142529481 0.00614451558769 17.9708452228 19 1.13257699846
4820 0.0202832843672 0.00077040290656 38.1879885137 12 1.32197611106
7502 0.0849264837251 0.000477362383208 54.1046063913 11 0.832673477769
15079 0.0470958628549 0.00165423886564 85.2419224555 14 1.49770768566
2982 0.319365287939 0.00851495864742 9.49132817746 14 1.33369178806
2011 0.0514264371167 0.00832325181441 23.6402111266 7 0.98727260271
19936 0.0319639870741 0.0126532593337 10.9480402151 8 1.23072869619
25771 0.216227433959 0.00870482703151 16.8855806418 34 0.810026786887
7762 0.154855644466 0.00943309259257 7.52149820134 8 1.18537520867
245 0.0451274287572 0.0060264585284 15.0288397947 11 1.78631761795
23591 0.0427870249012 0.00908862157767 8.56667847807 6 1.33590981178
13713 0.229287330618 0.0126307311602 10.3176415754 12 1.93530791664
10469 0.0825948483035 0.0014864144008 42.2983453615 19 1.02728999619
16643 0.256414151677 0.0176534856603 7.52063054622 16 0.661213867575
3643 0.0490469407009 0.0010338367893 30.7071334486 6 0.950341882069
1793 0.469897156136 0.0465513824791 6.35122552124 13 1.21893510094
2996 0.055501587215 0.00728005788243 21.7699222012 13 1.09521575161
10421 0.467391601107 0.0142042391798 5.27659830855 11 2.36540700059
23615 0.0431799248855 0.00117614465443 38.1448033213 8 0.672285150565
9864 0.0428748052496 0.00180639419504 43.0496292159 8 0.975171709053
7466 0.0497536141209 0.0047723179309 16.4807207912 10 1.10445385287
10073 0.139466187124 0.00250797582613 19.7781099329 11 0.856150957425
4150 0.395779386059 0.00872362473786 5.92202075548 13 7.47034182214
26774 0.0539232766921 0.00138641639534 31.9790053695 6 0.610876300786
16280 0.112669712084 0.000891762120664 39.6482469923 11 0.991340857776
1526 0.0583819282687 0.033747688252 14.1524911624 12 0.790358182075
17397 0.556234281151 0.00481902179071 13.0775228109 21 2.22099829911
2584 0.0798538776009 0.00510651061541 24.0641363659 13 0.714857558723
1278 0.340779155453 0.00798504408622 11.616129378 17 1.2350433966
23568 0.071928226987 0.0014219006787 27.8664148016 10 1.47477440841
9552 0.445203330612 0.0289677610684 4.70791586422 12 0.943515165802
19539 0.0799212548937 0.0127375025956 15.0536401062 13 0.632787615568
20596 0.0300098575615 0.00540902491947 15.2148755512 9 1.26915207429
21730 0.0468844637914 0.0101245129613 11.60462937 7 0.884038373468
9131 0.0285401913712 0.00427704227823 14.4769920805 6 1.34969074468
13317 0.0180188891746 0.00743897560138 12.0088541688 7 0.835223201592
298 0.323525008236 0.04333422944 9.58819965799 8 0.811110941452
812 0.906700619593 0.00955172264757 3.06802274447 13 0.841310449087
5690 0.159399176259 0.0507873146454 6.2912248203 8 0.819398162387
