# Col. 1: ID in CANDELS multi-wavelength catalog (Guo et al. 2013)
# Col. 2: RA
# Col. 3: DEC
# Col. 4: Number of blobs with UV Luminosity L_blob/L_galaxy>0.01
# Col. 5: Number of blobs with UV Luminosity L_blob/L_galaxy>0.05
# Col. 6: Number of blobs with UV Luminosity L_blob/L_galaxy>0.08
# Col. 7: Number of blobs with UV Luminosity L_blob/L_galaxy>0.10
1253 53.1481242 -27.9130580  2 1 1 1 
1256 53.1048303 -27.9139264  0 0 0 0 
1257 53.1902708 -27.9123511  2 2 2 1 
1266 53.1637334 -27.9120514  0 0 0 0 
1270 53.1161026 -27.9122242  1 1 1 1 
1275 53.1628812 -27.9114866  1 1 0 0 
1278 53.1159140 -27.9121276  1 1 1 0 
1287 53.1154491 -27.9115286  0 0 0 0 
1297 53.1207496 -27.9111093  2 1 1 0 
1339 53.1830987 -27.9102830  2 2 1 1 
1356 53.1232578 -27.9097960  1 1 1 1 
1364 53.2208530 -27.9097545  5 2 1 0 
1387 53.1441957 -27.9098307  3 2 1 0 
1404 53.1779024 -27.9095396  2 1 1 1 
1442 53.2427138 -27.9081031  2 2 2 2 
1482 53.1484221 -27.9082326  7 3 2 1 
1500 53.1949209 -27.9069819  6 4 2 1 
1546 53.1109866 -27.9067422  6 0 0 0 
1617 53.1230639 -27.9046237  1 1 1 1 
1630 53.2347130 -27.9042579  0 0 0 0 
1648 53.1119495 -27.9064791  0 0 0 0 
1651 53.1127106 -27.9045230  5 2 1 1 
1664 53.0953045 -27.9039911  0 0 0 0 
1677 53.1986805 -27.9035325  1 1 1 1 
1694 53.1480792 -27.9037707  1 1 1 1 
1698 53.2122690 -27.9033119  1 1 1 1 
1706 53.1976892 -27.9037665  2 0 0 0 
1740 53.0923806 -27.9027095  0 0 0 0 
1742 53.2019846 -27.9044523  8 0 0 0 
1745 53.1830691 -27.9032084  5 2 1 1 
1784 53.0993428 -27.9022024  3 2 1 1 
1785 53.0824364 -27.9025498  6 6 3 1 
1799 53.1246553 -27.9019828  3 3 3 3 
1804 53.1270725 -27.9015185  0 0 0 0 
1811 53.2014212 -27.9015534  0 0 0 0 
1825 53.1652356 -27.9017614  2 2 2 1 
1841 53.1855081 -27.9011912  0 0 0 0 
1847 53.2352865 -27.9010592  1 1 1 1 
1856 53.0837975 -27.9011193  1 1 1 1 
1857 53.1371412 -27.9008582  1 1 0 0 
1882 53.1266630 -27.9003023  0 0 0 0 
1907 53.1906069 -27.9003468  1 1 0 0 
1912 53.1933678 -27.9038781  3 0 0 0 
1913 53.0753129 -27.9001712  4 4 2 2 
1918 53.1512308 -27.9012347  4 0 0 0 
1919 53.2055028 -27.8999509  3 3 3 2 
1926 53.1188104 -27.9001856  3 1 0 0 
1929 53.2375839 -27.8999693  3 3 1 1 
1930 53.1366610 -27.8996935  1 1 0 0 
1945 53.0870949 -27.8995281  0 0 0 0 
1947 53.1412108 -27.8995451  4 4 4 4 
1959 53.2458012 -27.8990401  3 3 2 2 
1974 53.1381505 -27.8990228  2 2 2 2 
1984 53.0803709 -27.9017025  0 0 0 0 
1993 53.0715227 -27.8985820  1 1 1 1 
2005 53.1426002 -27.8999694  4 0 0 0 
2007 53.1857665 -27.8986621  1 1 1 1 
2041 53.1516045 -27.8997256  2 0 0 0 
2046 53.1127464 -27.8987897  6 1 1 1 
2079 53.0802190 -27.8976000  3 3 2 2 
2095 53.2330763 -27.8991547  12 1 1 0 
2134 53.1037322 -27.8967371  2 1 1 1 
2149 53.0826025 -27.8965715  4 3 2 2 
2155 53.2553494 -27.8968457  5 4 3 1 
2157 53.2051833 -27.8968280  1 0 0 0 
2167 53.2158558 -27.8959208  0 0 0 0 
2168 53.2160423 -27.8959954  0 0 0 0 
2179 53.1610366 -27.8960710  1 0 0 0 
2189 53.2212573 -27.8958078  1 1 1 1 
2190 53.0649477 -27.8956982  0 0 0 0 
2192 53.0735650 -27.8965564  2 1 1 1 
2236 53.1527613 -27.8953202  1 0 0 0 
2237 53.2088796 -27.8950301  2 2 2 2 
2270 53.1066731 -27.8953089  2 2 1 1 
2276 53.2183081 -27.8954583  3 3 0 0 
2278 53.2328259 -27.8946637  2 2 2 2 
2285 53.1968260 -27.8943986  0 0 0 0 
2287 53.2552683 -27.8947637  2 2 0 0 
2288 53.0616305 -27.8943351  2 2 2 2 
2292 53.1602079 -27.8945406  2 2 2 2 
2309 53.1251353 -27.8940145  1 1 1 1 
2311 53.1424197 -27.8941840  0 0 0 0 
2361 53.2111908 -27.8936461  5 4 4 3 
2371 53.2453907 -27.8932845  1 1 1 1 
2373 53.1245947 -27.8932453  0 0 0 0 
2385 53.0778266 -27.8931093  0 0 0 0 
2391 53.2071713 -27.8928639  1 1 1 1 
2396 53.0699776 -27.8926647  0 0 0 0 
2415 53.2585270 -27.8930862  3 2 1 1 
2436 53.2116868 -27.8924045  0 0 0 0 
2445 53.1211065 -27.8927283  5 4 2 2 
2448 53.0603394 -27.8923425  3 3 3 3 
2468 53.0727348 -27.8919040  0 0 0 0 
2470 53.1793264 -27.8920199  2 2 2 1 
2543 53.1344147 -27.8909571  1 0 0 0 
2551 53.2366534 -27.8914955  3 2 1 1 
2556 53.1335287 -27.8907581  1 1 1 1 
2587 53.2328261 -27.8910974  6 3 1 1 
2590 53.2015639 -27.8905285  4 3 1 1 
2614 53.1971307 -27.8900550  2 2 2 1 
2615 53.0591754 -27.8899758  1 1 1 1 
2619 53.1635384 -27.8904751  1 1 0 0 
2621 53.1050196 -27.8930631  3 1 1 1 
2642 53.0658352 -27.8902013  2 2 2 2 
2656 53.1242108 -27.8896757  3 3 0 0 
2674 53.1441888 -27.8901286  1 1 1 0 
2697 53.2415909 -27.8895625  2 2 1 0 
2725 53.0752686 -27.8885968  2 2 2 2 
2744 53.2106344 -27.8883668  1 1 1 1 
2746 53.1239761 -27.8880621  0 0 0 0 
2753 53.2133737 -27.8882541  5 4 0 0 
2766 53.1882219 -27.8886634  5 4 1 1 
2792 53.1081287 -27.8877334  2 2 0 0 
2795 53.1127076 -27.8884458  4 4 2 1 
2805 53.0987158 -27.8901127  2 0 0 0 
2818 53.0984263 -27.8874024  1 1 1 0 
2821 53.1804864 -27.8873739  2 2 2 2 
2828 53.1126530 -27.8876830  0 0 0 0 
2839 53.2557848 -27.8871498  0 0 0 0 
2840 53.1103564 -27.8882476  2 0 0 0 
2842 53.2677581 -27.8870327  2 2 0 0 
2844 53.1773590 -27.8871035  2 1 1 1 
2846 53.2284268 -27.8867419  0 0 0 0 
2860 53.2322085 -27.8871027  3 2 2 1 
2885 53.1195818 -27.8864180  0 0 0 0 
2889 53.2122747 -27.8866387  0 0 0 0 
2924 53.2530917 -27.8884626  5 1 1 0 
2955 53.2156631 -27.8857413  0 0 0 0 
2975 53.1365849 -27.8857017  4 4 4 2 
2976 53.0760874 -27.8860645  6 3 1 0 
2982 53.1581514 -27.8855511  1 1 1 1 
2987 53.1288227 -27.8865071  3 3 3 3 
2994 53.0572270 -27.8850175  2 2 2 1 
2996 53.0968145 -27.8854700  2 1 1 1 
3001 53.0490122 -27.8849586  2 2 2 2 
3014 53.0502287 -27.8852659  0 0 0 0 
3021 53.1654829 -27.8853302  3 2 1 1 
3024 53.1334210 -27.8848869  1 1 0 0 
3026 53.1567540 -27.8853936  5 1 0 0 
3041 53.1321516 -27.8851806  3 2 1 1 
3063 53.1696010 -27.8850062  1 1 1 1 
3075 53.1260591 -27.8850584  2 1 1 1 
3081 53.1792302 -27.8845958  3 2 1 1 
3096 53.2641514 -27.8849535  0 0 0 0 
3107 53.1820251 -27.8839770  0 0 0 0 
3112 53.1255793 -27.8849688  1 0 0 0 
3149 53.2597298 -27.8849904  5 1 1 1 
3162 53.0534558 -27.8832825  0 0 0 0 
3178 53.2585526 -27.8834313  4 4 1 1 
3183 53.0605504 -27.8833115  0 0 0 0 
3188 53.2637058 -27.8851711  1 0 0 0 
3193 53.2632398 -27.8851455  0 0 0 0 
3202 53.0722121 -27.8829009  1 1 1 0 
3207 53.0624665 -27.8839920  8 1 0 0 
3243 53.0766447 -27.8826998  0 0 0 0 
3252 53.0589312 -27.8824422  0 0 0 0 
3257 53.1858025 -27.8828451  1 1 1 1 
3261 53.1347292 -27.8822812  0 0 0 0 
3279 53.1002633 -27.8825628  2 2 2 2 
3283 53.0589454 -27.8820726  2 2 2 2 
3302 53.0995850 -27.8829782  0 0 0 0 
3304 53.0821090 -27.8819673  2 2 2 2 
3348 53.2413138 -27.8810052  0 0 0 0 
3362 53.0554534 -27.8810504  3 3 2 2 
3368 53.0969862 -27.8815592  3 2 2 2 
3371 53.1246984 -27.8812150  1 1 1 0 
3380 53.1743754 -27.8816224  5 2 1 1 
3381 53.1896850 -27.8806775  0 0 0 0 
