# no.  UserID Distance DBSource ALPHA_GR_DEC_ORDER DELTA_GR_DEC_ORDER redshift redshift_err FAST_bc03_lmass FAST_ma05_lmass
# start data
   70  10476                      0.00 10476  53.15782510 -27.81475680  2.09150  2.0001  9.700  9.700
   71  10487                      0.00 10487  53.13530330 -27.81449480  0.00000  0.0000  9.540  9.540
   72  10493                      0.00 10493  53.13134260 -27.81493790  1.87950  3.0000 10.370 10.370
   73  10494                      0.00 10494  53.09182960 -27.81433000  0.00000  0.0000  9.650  9.650
   74  10495                      0.00 10495  53.04327070 -27.81431960  0.00000  0.0000  9.870  9.870
   75  10505                      0.00 10505  53.04579520 -27.81416270  0.00000  0.0000  8.920  8.920
   76  10507                      0.00 10507  53.21667610 -27.81434110  0.00000  0.0000 10.620 10.620
   77  1051                       0.00 1051  53.08741200 -27.91646530  0.00000  0.0000  9.390  9.390
   78  1052                       0.00 1052  53.18378680 -27.91628210  0.00000  0.0000  8.860  8.860
   79  10528                      0.00 10528  53.16347140 -27.81384590  0.00000  0.0000  8.970  8.970
   80  1054                       0.00 1054  53.18314680 -27.91766260  9.99990  0.0001 10.210 10.210
   81  10549                      0.00 10549  53.12649240 -27.81389850  0.00000  0.0000  9.130  9.130
   82  10550                      0.00 10550  53.21201010 -27.81422320  0.00000  0.0000  9.370  9.370
   83  10553                      0.00 10553  53.04831460 -27.81392840  2.60610  4.0001  9.300  9.300
   84  10560                      0.00 10560  53.16481530 -27.81437150  0.32660  2.0001 10.450 10.450
   85  1057                       0.00 1057  53.19336070 -27.91612840  0.00000  0.0000  9.170  9.170
   86  10574                      0.00 10574  53.11174130 -27.81403000  0.00000  0.0000 10.420 10.420
   87  10576                      0.00 10576  53.04594340 -27.81371180  0.00000  0.0000  9.200  9.200
   88  10578                      0.00 10578  53.16528280 -27.81406800  3.06400  3.0000 11.360 11.360
   89  10586                      0.00 10586  53.09634330 -27.81368640  0.00000  0.0000  9.340  9.340
   90  10590                      0.00 10590  53.09742130 -27.81342830  0.00000  0.0000  9.120  9.120
   91  10602                      0.00 10602  53.14214480 -27.81376870  2.34360  3.0000  9.930  9.930
   92  10612                      0.00 10612  53.11479560 -27.81316190  0.00000  0.0000  9.160  9.160
