# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  16777  6959   0.26       0.29       0.63       0.67       2.73        -0.07   0.52   -1.62  
  16841  7000   0.21       0.24       0.43       0.48       2.48        0.04    0.44   -1.63  
  16844  7007   0.32       0.38       0.63       0.74       2.26        0.06    0.44   -1.33  
  16899  7046   0.18       0.19       0.41       0.42       2.63        0.01    0.51   -1.64  
  16905  7042   0.41       0.48       0.87       1.11       2.5         0.06    0.47   -1.35  
  16934  6932   0.54       0.65       1.37       1.61       4.15        0.08    0.51   -1.97  
  16970  7081   0.2        0.21       0.45       0.48       2.73        0.04    0.5    -1.7   
  17027  7073   0.22       0.24       0.51       0.54       2.76        0.14    0.5    -1.68  
  17158  7192   0.41       0.53       1.02       1.26       3.62        0.2     0.44   -1.47  
  17172  7203   0.23       0.24       0.49       0.5        2.31        0.19    0.44   -1.38  
  17227  7212   0.32       0.42       0.63       0.77       2.75        0.18    0.44   -1.25  
  17255  7261   0.22       0.23       0.56       0.57       2.51        0.06    0.53   -1.6   
  17284  7238   0.33       0.36       0.78       0.78       3.3         0.08    0.49   -1.24  
  17338  7304   0.21       0.23       0.48       0.51       2.62        0.12    0.49   -1.48  
  17374  7326   0.16       0.17       0.39       0.41       2.83        -0.05   0.52   -1.6   
  17420  7353   0.33       0.37       0.75       0.87       2.77        0.03    0.53   -1.72  
  17456  7370   0.18       0.19       0.45       0.46       2.9         0.01    0.52   -1.62  
  17488  7371   0.3        0.36       0.93       1.0        4.17        -0.1    0.57   -1.26  
  17673  7499   0.33       0.35       0.66       0.7        2.29        0.08    0.41   -1.57  
  17810  7580   0.28       0.33       0.58       0.68       2.53        -0.01   0.46   -1.2   
  17813  7589   0.2        0.21       0.45       0.47       2.77        0.16    0.5    -1.48  
  17824  7578   0.32       0.34       0.67       0.69       2.32        0.1     0.44   -1.46  
  17857  7626   0.21       0.24       0.5        0.51       2.56        0.04    0.49   -1.56  
  17864  7623   0.35       0.37       0.78       0.83       2.85        0.07    0.51   -1.7   
  17879  7642   0.18       0.19       0.39       0.41       2.71        -0.01   0.48   -1.52  
  17926  7665   0.32       0.36       0.7        0.92       2.89        -0.04   0.52   -1.57  
  17937  7674   0.23       0.26       0.56       0.63       3.37        0.34    0.56   -1.23  
  17973  7704   0.27       0.31       0.53       0.61       2.21        0.0     0.41   -1.43  
  18023  7736   0.18       0.21       0.41       0.49       2.98        0.03    0.55   -1.68  
  18092  7795   0.26       0.29       0.53       0.57       2.46        0.14    0.47   -1.13  
  18109  7814   0.17       0.19       0.37       0.4        2.55        0.07    0.48   -1.61  
  18176  7839   0.35       0.29       0.88       0.94       3.13        0.16    0.48   -0.74  
  18182  7857   0.36       0.42       0.95       0.96       4.46        0.32    0.5    -1.67  
  18262  7919   0.24       0.27       0.58       0.59       2.74        0.03    0.48   -1.68  
  18320  7970   0.18       0.19       0.41       0.43       2.59        0.05    0.51   -1.54  
  18334  7962   0.24       0.27       0.56       0.6        2.68        0.07    0.5    -1.48  
  18353  7985   0.19       0.2        0.46       0.45       2.85        -0.1    0.53   -1.76  
  18393  7989   0.48       0.54       1.16       1.29       2.74        0.11    0.49   -1.45  
  18406  8017   0.31       0.34       0.66       0.72       2.48        0.01    0.46   -1.59  
  18426  8035   0.36       0.42       0.76       0.86       2.69        0.06    0.45   -1.38  
  18509  8094   0.26       0.29       0.59       0.64       2.78        0.2     0.52   -1.57  
  18528  8103   0.18       0.2        0.39       0.42       2.44        0.08    0.45   -1.53  
  18555  8129   0.2        0.21       0.45       0.46       2.74        0.13    0.5    -1.6   
  18609  8154   0.6        0.78       1.4        1.62       2.82        0.09    0.46   -1.13  
  18882  8360   0.17       0.17       0.37       0.38       2.74        0.11    0.48   -1.71  
  18936  8398   0.21       0.22       0.47       0.49       2.67        0.1     0.49   -1.63  
  18980  8422   0.37       0.42       0.81       1.0        2.74        0.13    0.52   -1.37  
  18991  8429   0.18       0.19       0.41       0.44       2.85        0.12    0.53   -1.55  
  19051  8476   0.42       0.41       0.87       1.01       2.76        0.34    0.49   -1.51  
  19104  8502   0.33       0.53       0.77       1.59       2.78        0.19    0.54   -1.17  
  19149  8541   0.24       0.32       0.51       0.89       2.94        0.06    0.57   -1.62  
  19158  8545   0.37       0.41       0.84       0.87       2.75        0.06    0.46   -1.52  
  19181  8558   0.3        0.3        0.74       0.93       3.17        0.18    0.58   -1.15  
  19185  8469   0.53       0.59       1.25       1.35       3.25        0.37    0.49   -1.14  
  19242  8617   0.22       0.24       0.51       0.53       2.77        0.06    0.51   -1.41  
  19246  8624   0.25       0.29       0.49       0.61       2.64        -0.01   0.52   -1.17  
  19262  8582   0.35       0.53       1.06       1.35       3.07        -0.01   0.51   -1.7   
  19274  8627   0.22       0.25       0.5        0.56       2.91        0.09    0.52   -1.65  
  19276  8645   0.34       0.36       0.83       0.85       2.99        0.22    0.55   -1.56  
  19323  8657   0.16       0.18       0.37       0.39       2.68        0.11    0.48   -1.62  
  19413  8741   0.47       0.66       1.19       1.32       2.82        0.01    0.41   -1.62  
  19425  8759   0.17       0.19       0.37       0.4        2.55        0.16    0.48   -1.65  
  19452  8506   0.41       0.47       1.07       1.16       3.77        0.13    0.49   -1.52  
  19498  8804   0.26       0.27       0.58       0.59       2.57        0.02    0.47   -1.68  
  19504  8803   0.48       0.54       1.07       1.19       2.44        0.03    0.44   -1.56  
  19520  8822   0.3        0.33       0.62       0.65       2.68        0.02    0.45   -1.51  
  19548  8846   0.16       0.16       0.36       0.37       2.82        0.06    0.51   -1.66  
  19549  8841   0.36       0.42       0.84       1.07       2.91        0.22    0.53   -1.54  
  19700  8937   0.35       0.48       0.95       1.18       2.85        0.04    0.53   -1.46  
  19760  8990   0.23       0.23       0.48       0.49       2.57        0.14    0.44   -1.61  
  19797  9027   0.23       0.26       0.51       0.58       2.73        0.03    0.5    -1.59  
  19802  9017   0.37       0.44       0.79       0.83       2.55        0.25    0.43   -1.58  
  19809  9035   0.19       0.2        0.4        0.42       2.49        0.11    0.49   -1.28  
  19824  9048   0.17       0.18       0.41       0.42       2.88        0.07    0.52   -1.69  
  19833  9037   0.31       0.35       0.65       0.72       2.42        0.24    0.49   -1.45  
  19837  9057   0.22       0.24       0.49       0.51       2.56        0.08    0.46   -1.56  
  19895  9085   0.28       0.37       0.7        0.75       3.45        0.29    0.52   -1.22  
  19935  9113   0.42       0.54       1.06       1.26       3.16        -0.43   0.45   -1.15  
  19960  9147   0.16       0.16       0.35       0.37       2.63        -0.01   0.48   -1.56  
  20090  9239   0.22       0.24       0.61       0.63       3.24        -0.02   0.59   -1.69  
  20213  9318   0.3        0.36       0.84       1.02       3.4         0.42    0.58   -1.43  
  20232  9324   0.3        0.32       0.65       0.68       2.61        0.14    0.49   -1.42  
  20242  9349   0.18       0.19       0.42       0.42       2.76        0.07    0.48   -1.67  
  20253  9351   0.33       0.36       0.74       0.94       2.76        0.15    0.54   -1.68  
  20331  9408   0.23       0.24       0.56       0.58       3.02        0.08    0.54   -1.75  
  20343  9420   0.25       0.3        0.64       0.72       3.13        0.14    0.55   -1.81  
  20401  9457   0.18       0.18       0.42       0.43       2.54        0.01    0.52   -1.77  
  20417  9467   0.17       0.19       0.4        0.45       2.45        0.04    0.51   -1.57  
  20447  9483   0.26       0.26       0.66       0.7        3.23        0.07    0.57   -1.86  
  20482  9504   0.3        0.37       0.7        0.79       2.42        0.23    0.49   -1.17  
  20540  9553   0.26       0.29       0.55       0.64       2.54        0.06    0.49   -1.53  
  20558  9542   0.48       0.48       1.3        1.36       3.8         -0.06   0.53   -2.48  
  20568  9565   0.59       0.65       1.55       1.65       3.37        0.19    0.51   -1.95  
  20628  9610   0.41       0.53       1.01       1.18       3.51        0.31    0.43   -1.23  
  20659  9630   0.18       0.18       0.4        0.4        2.94        0.04    0.48   -1.68  
  20672  9658   0.17       0.17       0.36       0.37       2.44        -0.02   0.48   -1.67  
  20790  9749   0.17       0.18       0.39       0.41       2.88        0.04    0.51   -1.69  
  20792  9757   0.24       0.27       0.52       0.58       2.43        0.08    0.49   -1.2   
  20825  9767   0.38       0.45       0.76       0.85       2.47        0.04    0.39   -1.51  
  20831  9792   0.36       0.36       0.86       0.94       2.63        0.1     0.54   -1.37  
  20834  9774   0.47       0.53       1.1        1.25       3.74        -0.05   0.4    -0.81  
  20861  9806   0.22       0.24       0.49       0.53       2.79        0.0     0.49   -1.65  
  20884  9827   0.2        0.22       0.45       0.47       2.76        0.07    0.48   -1.75  
  20905  9814   0.41       0.54       1.08       1.24       3.85        0.14    0.54   -1.48  
  20936  9886   0.9        1.02       2.22       2.49       3.44        0.12    0.53   -2.3   
  21007  9915   0.36       0.36       0.78       0.8        2.57        0.13    0.48   -1.67  
  21098  9993   0.25       0.25       0.51       0.52       2.43        0.18    0.47   -1.55  
  21236  10091  0.31       0.29       0.83       0.95       3.17        0.08    0.54   -1.54  
  21299  10145  0.32       0.4        0.7        0.87       2.63        0.14    0.49   -1.34  
  21331  10175  0.27       0.29       0.65       0.7        2.99        0.12    0.55   -1.63  
  21355  10184  0.26       0.28       0.56       0.58       2.54        0.05    0.45   -1.64  
  21398  10230  0.2        0.21       0.42       0.44       2.73        0.04    0.48   -1.64  
  21459  10278  0.18       0.21       0.39       0.44       2.49        -0.07   0.47   -1.61  
  21470  10296  0.26       0.29       0.57       0.58       2.71        0.2     0.46   -1.42  
  21568  10366  0.25       0.27       0.54       0.56       2.59        0.03    0.44   -1.64  
  21624  10419  0.2        0.22       0.46       0.49       2.94        0.2     0.52   -1.36  
  21679  10444  0.29       0.32       0.62       0.69       2.68        0.06    0.47   -1.71  
  21735  10483  0.26       0.26       0.64       0.65       3.14        0.05    0.55   -1.82  
  21786  10539  0.32       0.35       0.69       0.76       2.33        0.21    0.5    -1.15  
  21819  10558  0.26       0.27       0.56       0.57       2.71        0.03    0.49   -1.62  
  21852  10630  0.72       0.84       1.43       1.61       2.43        0.31    0.42   -1.29  
  21891  10604  0.35       0.47       1.16       1.38       3.01        0.07    0.54   -1.87  
  21897  10621  2.22       0.96       1.58       1.45       1.72        -0.31   0.68   -0.61  
  21922  10608  0.54       0.53       1.21       1.27       3.05        0.15    0.46   -1.28  
  21923  10645  0.34       0.29       0.77       0.91       2.86        0.16    0.55   -1.56  
  22079  10781  0.23       0.25       0.51       0.53       2.66        0.09    0.48   -1.57  
  22123  10817  0.24       0.25       0.53       0.56       2.7         0.02    0.49   -1.77  
  22236  10917  0.41       0.41       0.82       1.02       2.39        0.43    0.5    -1.47  
  22376  11027  0.24       0.36       0.56       0.83       3.13        0.13    0.54   -1.09  
  22435  11062  0.47       0.54       1.11       1.19       2.94        0.32    0.51   -1.06  
  22467  11093  0.16       0.16       0.35       0.36       2.66        0.07    0.47   -1.54  
  22539  11118  0.16       0.16       0.37       0.39       2.86        0.08    0.5    -1.67  
  22549  11157  0.32       0.37       0.7        0.77       2.42        0.26    0.46   -1.34  
  22562  11164  0.25       0.28       0.49       0.59       2.51        0.05    0.49   -1.52  
  22602  11191  0.48       0.53       1.2        1.47       3.92        0.15    0.54   -1.52  
  22608  11210  0.24       0.27       0.51       0.57       2.52        0.08    0.47   -1.5   
  22611  11221  0.24       0.29       0.55       1.01       3.16        0.14    0.62   -1.82  
  22613  11207  0.24       0.27       0.56       0.62       2.65        0.09    0.51   -1.58  
  22649  11249  0.33       0.39       0.64       0.78       2.17        0.35    0.46   -1.18  
  22702  11114  0.32       0.38       0.65       0.73       2.22        0.28    0.44   -1.0   
  22711  11276  0.42       0.48       1.61       1.71       5.15        0.2     0.63   -2.43  
  22849  13269  0.21       0.24       0.46       0.52       2.82        0.24    0.51   -1.68  
  22878  12304  0.27       0.3        0.6        0.68       2.75        0.06    0.53   -1.72  
  22915  12325  0.3        0.32       0.6        0.66       2.59        0.27    0.45   -1.56  
  22917  12328  0.42       0.47       0.99       1.12       3.47        0.43    0.49   -0.96  
  23095  12278  0.47       0.53       1.06       1.17       2.69        0.11    0.42   -1.41  
  23170  12139  0.26       0.3        0.57       0.65       2.57        0.06    0.5    -1.19  
  23249  11965  0.28       0.29       0.73       1.02       3.38        0.15    0.59   -1.98  
  23312  11993  0.36       0.36       0.76       0.77       2.51        0.1     0.47   -1.63  
  23375  11977  0.35       0.42       0.92       0.95       3.02        0.03    0.43   -1.59  
  23449  12038  0.65       0.72       1.49       1.56       3.02        0.18    0.44   -1.6   
  23482  11764  0.3        0.32       0.59       0.63       2.23        -0.03   0.4    -1.5   
  23486  11756  0.26       0.29       0.58       0.64       2.85        0.04    0.51   -1.67  
  23509  11687  0.37       0.35       0.83       0.94       2.85        0.15    0.51   -1.42  
  23567  11719  0.34       0.35       0.68       0.94       2.3         0.18    0.52   -1.07  
  23568  11665  0.28       0.32       0.6        0.69       2.53        0.17    0.49   -1.49  
  23615  11909  0.2        0.24       0.43       0.59       2.85        0.11    0.55   -1.84  
  23632  11669  0.29       0.35       0.64       0.77       2.81        0.18    0.49   -1.44  
  23714  11609  0.31       0.34       0.67       0.73       2.49        0.21    0.48   -1.38  
  23842  11444  0.2        0.21       0.43       0.48       2.48        -0.03   0.49   -1.57  
  23888  11534  0.35       0.41       1.02       1.13       3.09        0.12    0.53   -1.74  
  24004  14761  0.27       0.31       0.59       0.63       2.47        0.08    0.45   -1.55  
  24019  14655  0.26       0.28       0.52       0.53       2.11        -0.42   0.72   -0.61  
  24150  14640  0.27       0.3        0.64       0.64       2.95        0.15    0.53   -1.5   
  24211  14569  0.29       0.31       0.72       0.75       3.04        -0.18   0.53   -1.46  
  24280  14364  0.29       0.35       0.99       1.1        4.08        0.13    0.57   -1.9   
  24351  14770  0.54       0.59       1.2        1.34       2.91        0.22    0.44   -1.71  
  24358  14486  0.35       0.42       1.22       1.25       3.72        0.16    0.61   -1.44  
  24552  14202  0.21       0.23       0.46       0.51       2.57        0.16    0.49   -1.42  
  24768  14242  0.29       0.34       0.8        0.74       2.95        0.32    0.5    -1.29  
  24809  14123  0.28       0.35       0.77       0.84       3.39        0.17    0.57   -1.29  
  24854  13878  0.2        0.23       0.5        0.56       3.1         0.14    0.55   -1.74  
  24884  14183  0.35       0.4        0.79       0.9        2.58        0.2     0.5    -1.11  
  24896  13991  0.24       0.29       0.57       0.77       3.12        0.09    0.58   -1.7   
  24991  13889  0.29       0.42       0.92       1.08       2.84        0.17    0.52   -1.57  
  25025  13891  0.33       0.36       0.76       1.07       3.1         0.25    0.58   -1.46  
  25151  13690  0.21       0.23       0.49       0.52       2.78        0.11    0.5    -1.84  
  25213  13712  0.21       0.23       0.49       0.54       2.82        0.0     0.53   -1.68  
  25239  13674  0.25       0.26       0.52       0.55       2.2         0.15    0.48   -1.21  
  25285  13630  0.2        0.22       0.45       0.48       2.68        0.1     0.5    -1.57  
  25308  13564  0.36       0.4        0.78       0.86       2.58        0.2     0.48   -1.36  
  25355  13474  0.28       0.32       0.66       0.75       2.98        0.25    0.53   -1.44  
  25391  13566  0.21       0.22       0.44       0.46       2.53        0.03    0.46   -1.67  
  25478  13558  0.33       0.35       0.74       0.79       2.88        0.31    0.52   -1.52  
  25514  13318  0.31       0.37       0.64       0.73       2.53        0.15    0.47   -1.19  
  25635  13136  0.29       0.31       0.64       0.67       2.53        0.09    0.47   -1.65  
  25715  13252  0.35       0.42       0.95       1.06       5.06        0.13    0.52   -1.89  
  25870  13655  0.18       0.19       0.4        0.41       2.65        0.04    0.49   -1.74  
  25873  12950  0.47       0.6        1.3        1.55       3.95        0.21    0.53   -1.7   
  25952  13056  0.19       0.19       0.41       0.43       2.65        0.05    0.49   -1.59  
  25981  13043  0.19       0.2        0.45       0.42       2.77        0.08    0.5    -1.64  
  26074  12895  0.35       0.39       0.66       0.74       1.84        0.46    0.47   -1.11  
  26085  12905  0.2        0.22       0.45       0.52       2.77        0.14    0.52   -1.68  
  26136  13070  0.23       0.26       0.56       0.62       2.91        0.24    0.56   -1.42  
  26222  12926  0.36       0.35       0.81       1.01       2.47        0.36    0.56   -1.11  
  26236  13110  0.21       0.24       0.47       0.56       2.56        0.2     0.53   -1.38  
  26252  12854  0.28       0.33       0.62       0.69       2.67        0.09    0.5    -1.53  
  26355  12588  0.42       0.48       0.95       1.12       3.11        0.07    0.5    -1.82  
  26459  12691  0.41       0.54       1.19       1.33       3.54        0.28    0.53   -1.55  
  26464  12597  0.42       0.41       1.1        1.18       3.41        0.04    0.53   -1.85  
  26474  12523  0.34       0.36       0.79       0.85       3.05        0.2     0.54   -1.64  
  26496  12763  0.41       0.48       1.0        1.05       3.6         0.37    0.5    -1.31  
  26554  12725  0.42       0.48       1.25       1.37       5.51        0.09    0.58   -2.09  
  26637  12522  0.23       0.24       0.63       0.72       3.42        0.17    0.61   -2.01  
  26654  12671  0.32       0.34       0.68       0.79       2.55        0.19    0.53   -1.49  
  26736  12285  0.41       0.53       1.02       1.24       2.57        0.19    0.45   -1.51  
  26766  12386  0.29       0.36       1.08       1.19       4.27        0.18    0.61   -1.98  
  26774  12579  0.17       0.18       0.39       0.41       2.78        0.06    0.52   -1.71  
