# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  8823   2569   0.18       0.19       0.39       0.4        3.03        -0.02   0.5    -1.6   
  8868   2589   0.2        0.22       0.44       0.47       2.63        0.16    0.48   -1.67  
  8874   2593   0.37       0.41       0.74       0.94       2.16        0.23    0.49   -0.98  
  8979   2647   0.38       0.39       0.85       0.84       2.49        0.06    0.48   -1.66  
  9051   2687   0.18       0.19       0.39       0.43       2.85        -0.07   0.5    -1.65  
  9067   2703   0.19       0.21       0.41       0.45       2.59        0.04    0.48   -1.58  
  9105   2728   0.37       0.48       0.81       1.18       3.06        0.15    0.56   -1.34  
  9139   2756   0.24       0.29       0.55       0.6        2.51        -0.07   0.45   -1.49  
  9246   2821   0.41       0.48       1.05       1.11       3.4         0.06    0.51   -1.55  
  9295   2818   0.22       0.22       0.52       0.52       2.89        0.02    0.52   -1.7   
  9343   2879   0.31       0.35       0.7        0.73       2.9         0.21    0.46   -1.37  
  9358   2883   0.3        0.33       0.69       0.67       2.71        -0.03   0.46   -1.5   
  9392   2911   0.17       0.18       0.36       0.39       2.68        0.01    0.48   -1.57  
  9407   2913   0.35       0.37       0.87       0.88       2.74        -0.07   0.46   -0.93  
  9474   2954   0.54       0.66       1.07       1.23       2.86        0.15    0.37   -1.07  
  9497   2987   0.16       0.16       0.34       0.35       2.62        0.01    0.5    -1.61  
  9527   2998   0.31       0.34       0.71       0.73       2.62        0.08    0.46   -1.52  
  9530   2974   0.25       0.27       0.67       0.66       3.18        0.01    0.55   -1.54  
  9557   3020   0.32       0.36       0.73       0.78       2.86        0.05    0.49   -1.43  
  9623   3063   0.22       0.25       0.46       0.53       2.52        0.03    0.48   -1.56  
  9651   3066   0.36       0.41       1.07       1.22       5.42        0.2     0.54   -1.66  
  9655   3079   0.18       0.2        0.42       0.43       2.63        -0.05   0.49   -1.57  
  9705   3118   0.17       0.17       0.36       0.36       2.44        0.04    0.45   -1.54  
  9793   3162   0.42       0.41       0.77       0.94       1.94        0.24    0.43   -1.1   
  9799   3164   0.29       0.32       0.66       0.72       2.78        0.05    0.49   -1.48  
  9835   3189   0.21       0.24       0.5        0.57       2.67        0.02    0.52   -1.48  
  9864   3214   0.19       0.21       0.43       0.46       2.49        -0.03   0.46   -1.62  
  9867   3211   0.17       0.17       0.38       0.39       2.84        0.08    0.51   -1.69  
  9887   3224   0.2        0.23       0.41       0.5        2.39        -0.0    0.46   -1.61  
  9889   3207   0.24       0.26       0.6        0.63       3.21        0.05    0.55   -1.9   
  9935   3237   0.31       0.36       0.73       1.07       2.87        0.17    0.56   -1.44  
  9983   3261   0.35       0.54       1.17       1.47       5.68        -0.04   0.54   -1.96  
  9995   3283   0.18       0.2        0.39       0.42       2.45        -0.16   0.44   -1.53  
  9996   3290   0.18       0.18       0.41       0.42       2.84        -0.02   0.51   -1.79  
  10014  3295   0.35       0.42       0.79       1.11       2.71        0.22    0.56   -1.32  
  10030  3310   0.24       0.26       0.56       0.58       2.67        0.02    0.5    -1.57  
  10035  3316   0.34       0.41       0.72       0.83       2.42        -0.01   0.43   -1.5   
  10083  3343   0.21       0.24       0.44       0.49       2.69        0.03    0.48   -1.62  
  10171  3393   0.19       0.19       0.41       0.44       2.76        0.04    0.49   -1.67  
  10242  3426   0.28       0.32       0.71       0.83       3.24        0.09    0.57   -1.83  
  10243  3430   0.2        0.22       0.42       0.45       2.69        0.08    0.45   -1.5   
