#ID RA DEC
3594 53.1616492 -27.8784807
3643 53.0760044 -27.8781615
3644 53.1240263 -27.8785606
3656 53.0653613 -27.8785831
3666 53.2665176 -27.8778831
3746 53.2441442 -27.8768014
3750 53.2588567 -27.8766511
3790 53.0840807 -27.8773207
3792 53.2487897 -27.8763019
3796 53.1872488 -27.8764877
3852 53.1988998 -27.8762926
3895 53.202787 -27.8754442
3926 53.1302349 -27.8752374
3927 53.2468662 -27.8752482
3937 53.1963297 -27.8750919
3964 53.1661452 -27.874666
3971 53.0775917 -27.8748482
4061 53.1339882 -27.8742957
4140 53.2107931 -27.8739479
4204 53.1863168 -27.8728871
4235 53.2510609 -27.8721696
4237 53.2411126 -27.8724225
4260 53.2496144 -27.8719026
4291 53.2427327 -27.8719853
4331 53.071936 -27.8721088
4339 53.2541882 -27.8712962
4451 53.1873858 -27.8703901
4526 53.1573424 -27.8700866
4689 53.1224958 -27.8683679
4717 53.0617586 -27.867944
4773 53.1278608 -27.8674939
4820 53.0574308 -27.8674372
4876 53.0682135 -27.867
4932 53.1381316 -27.8654938
5001 53.0972362 -27.8657923
5032 53.2294555 -27.8644071
5128 53.1953321 -27.8633367
5158 53.1402899 -27.8634506
5197 53.1117644 -27.8627793
5529 53.1670541 -27.858942
5536 53.237326 -27.8592696
5552 53.0677463 -27.8591878
5559 53.2222133 -27.8585777
5599 53.1346132 -27.8586149
5608 53.1221543 -27.8582715
5641 53.1508519 -27.8583122
5843 53.1708814 -27.8562506
5868 53.1559794 -27.8559071
5904 53.0831805 -27.8561371
5986 53.0600832 -27.8546707
6024 53.1023365 -27.8543693
6118 53.0823342 -27.8536062
6129 53.2141713 -27.8530262
6278 53.0601149 -27.8529957
6300 53.2083236 -27.851431
6392 53.140705 -27.8505867
6463 53.0887672 -27.8504373
6549 53.0890355 -27.8490533
6588 53.1370532 -27.8500632
6664 53.1930509 -27.8480485
6676 53.0923032 -27.8479525
6730 53.0697631 -27.8475815
6752 53.0763996 -27.8486643
6780 53.0745639 -27.8472601
6839 53.0616187 -27.8462506
6895 53.094982 -27.8457816
6950 53.1562578 -27.8454768
6954 53.1103263 -27.8455952
7008 53.1378945 -27.8449699
7025 53.0637197 -27.8446244
7055 53.1227598 -27.8483046
7057 53.1938355 -27.8442792
7071 53.1372069 -27.8446494
7079 53.0896852 -27.8446014
7129 53.1935775 -27.8435125
7172 53.1939599 -27.8431947
7243 53.1018424 -27.8428
7259 53.1716707 -27.8424495
7308 53.0751522 -27.841774
7371 53.0998916 -27.8419381
7490 53.1190817 -27.8425475
7502 53.0721502 -27.84028
7545 53.0419835 -27.8396441
7552 53.2214517 -27.8400806
7578 53.0976352 -27.8402654
7638 53.031338 -27.8390613
7666 53.0410796 -27.8387053
7706 53.0841723 -27.8381416
7743 53.1896044 -27.8383936
8017 53.1864818 -27.8361155
8084 53.2110226 -27.8362975
8206 53.1435897 -27.8347056
8211 53.1698723 -27.8340916
8217 53.0705879 -27.8344667
8231 53.2197633 -27.8338229
8282 53.1501914 -27.8345311
8387 53.1014556 -27.8326823
8409 53.1572379 -27.8334458
8464 53.0733147 -27.8323651
8480 53.1814925 -27.8317962
8580 53.0678305 -27.8320754
8622 53.1327649 -27.8305947
8649 53.1463634 -27.8303583
8701 53.1804835 -27.8297462
8725 53.1308566 -27.8298509
8740 53.1676482 -27.8303676
8744 53.0313419 -27.8294841
8749 53.0345877 -27.8292781
8750 53.1628748 -27.8294671
8794 53.188313 -27.8293422
8823 53.1643798 -27.8286004
8833 53.030641 -27.8283215
8868 53.075513 -27.828314
8874 53.0787007 -27.8282639
8979 53.147109 -27.8277928
9051 53.1562087 -27.8267688
9067 53.169736 -27.8266286
9105 53.1551231 -27.8264733
9139 53.1626769 -27.8258348
9246 53.1413766 -27.8256965
9295 53.1716964 -27.8256599
9343 53.1671486 -27.824497
9358 53.1247187 -27.8245184
9392 53.0881543 -27.8238295
9407 53.1706133 -27.823788
9433 53.0261177 -27.8235025
9474 53.1697823 -27.8239387
9497 53.0817203 -27.8228807
9527 53.1567344 -27.8230665
9530 53.10379 -27.8232635
9557 53.0250097 -27.8226762
9623 53.0467012 -27.8220305
9651 53.0459133 -27.8221626
9655 53.1290871 -27.8216359
9705 53.0869807 -27.8211359
9793 53.03047 -27.8209999
9799 53.0718581 -27.8207039
9835 53.1734329 -27.8202831
9864 53.1483373 -27.8199081
9867 53.1729234 -27.8197987
9887 53.0278103 -27.8194708
9889 53.180146 -27.8206011
9935 53.0488284 -27.8197995
9983 53.2223306 -27.8197068
9995 53.0325725 -27.8187769
9996 53.1021645 -27.818911
10014 53.0588938 -27.8195009
10030 53.1667971 -27.8184969
10035 53.044367 -27.8185285
10050 53.0342624 -27.818341
10077 53.1640717 -27.8178928
10083 53.1472277 -27.8179516
10171 53.1123555 -27.8171143
10208 53.1781785 -27.8169289
10220 53.1758026 -27.8165568
10242 53.0305381 -27.8166635
10243 53.1625223 -27.8165485
10316 53.1622147 -27.8157754
10322 53.1782855 -27.8158139
10338 53.2034088 -27.8160148
10381 53.033061 -27.8151876
10395 53.1472906 -27.8151581
10404 53.2155302 -27.8152892
10433 53.1048051 -27.8146102
10437 53.1763436 -27.8147565
10442 53.0716423 -27.8148687
10446 53.091459 -27.8154466
10469 53.0813005 -27.8155628
10476 53.1578251 -27.8147568
10528 53.1634714 -27.8138459
10553 53.0483146 -27.8139284
10560 53.1648153 -27.8143715
10576 53.0459434 -27.8137118
10578 53.1652828 -27.814068
10590 53.0974213 -27.8134283
10602 53.1421448 -27.8137687
10634 53.1591577 -27.8137533
10663 53.1298318 -27.8133847
10698 53.1136781 -27.812728
10727 53.0451019 -27.8125551
10737 53.033681 -27.8119662
10752 53.1822105 -27.8117117
10767 53.1793465 -27.8125078
10769 53.2098978 -27.8119791
10790 53.1874046 -27.8122427
10879 53.1516586 -27.8108765
10918 53.0358043 -27.8109192
10973 53.1858293 -27.8099656
11006 53.1694184 -27.8103181
11023 53.04874 -27.8093244
11027 53.1722964 -27.8097405
11031 53.0231993 -27.8093557
11057 53.1382617 -27.809328
11061 53.0790399 -27.8094912
11079 53.16322 -27.8089867
11080 53.1549264 -27.8093997
11104 53.1571462 -27.8088078
11123 53.1288041 -27.8089509
11128 53.1836753 -27.8084068
11142 53.0927618 -27.8091111
11143 53.215537 -27.8088305
11160 53.1059386 -27.8084008
11161 53.1748494 -27.8079716
11173 53.1682894 -27.8081985
11203 53.1337206 -27.8078814
11204 53.1647367 -27.8079099
11210 53.1736624 -27.8082417
11288 53.1755476 -27.8068993
11342 53.1784385 -27.8065345
11350 53.0874915 -27.8066068
11382 53.1732132 -27.8061564
11388 53.1460503 -27.806446
11398 53.0867401 -27.8062218
11445 53.1529146 -27.8057627
11460 53.1829701 -27.806555
11465 53.0276845 -27.8054541
11521 53.1184437 -27.8053157
11539 53.0438949 -27.8048854
11571 53.17171 -27.8045614
11592 53.0516475 -27.8045999
11597 53.1496417 -27.8047953
11629 53.1707521 -27.8046888
11653 53.1407396 -27.803992
11693 53.186639 -27.8036685
11695 53.1690495 -27.8037212
11706 53.1544574 -27.8040279
11740 53.1158624 -27.8033806
11758 53.1932949 -27.8031068
11767 53.0199479 -27.8031704
11800 53.1613411 -27.8028699
11842 53.1641803 -27.8027385
11894 53.1860445 -27.802169
11923 53.0921218 -27.8018593
11943 53.0295202 -27.801661
11959 53.0309035 -27.8016639
12000 53.2118204 -27.801335
12002 53.1497369 -27.8011878
12122 53.0393615 -27.8018869
12146 53.0901083 -27.800048
12206 53.1313316 -27.7995158
12207 53.0567089 -27.7998304
12210 53.1525517 -27.8003728
12239 53.1295343 -27.7995852
12241 53.140459 -27.7990634
12254 53.1297725 -27.7991335
12266 53.1455764 -27.7988977
12291 53.0599949 -27.7988964
12337 53.15635 -27.7989733
12392 53.0173339 -27.7978119
12402 53.1479627 -27.7982944
12448 53.1679012 -27.7979524
12451 53.1576461 -27.799006
12470 53.1713235 -27.7978099
12511 53.0509677 -27.7973605
12516 53.0283434 -27.7975798
12529 53.1403058 -27.7975256
12530 53.0295241 -27.7968779
