#ID RA DEC Imag Zmag Jmag Hmag z
1036 53.0961492 -27.9167761 25.5708953503 25.3364701608 24.2308894152 24.1714323547 1.618
1042 53.1636465 -27.9166946 24.8423861555 24.8267793371 24.4743707959 24.3003389904 2.5342
1047 53.15992 -27.9165132 25.2216826933 25.273949949 24.8016100448 24.3932657542 1.916
1051 53.087412 -27.9164653 25.5217898814 25.4915671343 25.0237320233 24.4925481512 2.327
1052 53.1837868 -27.9162821 25.0671624605 25.1270676478 24.5226207007 24.8269833074 1.637
1054 53.1831468 -27.9176626 23.0768460779 23.1189059971 22.08035013 21.9226605844 1.597
1057 53.1933607 -27.9161284 24.3806704086 24.3913247758 24.0257786438 24.023827416 1.758
1064 53.159923 -27.9160917 25.0069931796 25.000119785 24.9591264651 24.9319886148 2.1235
1073 53.205644 -27.9159833 24.2828109376 24.6124979887 24.110781663 24.0259054366 3.367
1084 53.1936923 -27.9155864 25.4832096906 25.3518913746 25.204280154 24.8574152288 3.141
1086 53.1371798 -27.9158365 26.1767653887 26.1264670842 24.9803440692 23.6763588453 2.607
1087 53.1121611 -27.9157563 25.4820203384 25.5619973514 24.9643342445 24.5559272399 2.583
1088 53.182641 -27.9156561 25.7489151398 25.6915772952 25.5753058064 24.9820634087 3.119
1095 53.0912533 -27.9157435 25.2667462039 25.2839172863 24.7994003144 24.354730666 2.576
1103 53.1483093 -27.9154914 25.7949204941 25.5073985611 24.5420039127 24.1508877764 1.527
1109 53.1390993 -27.9152572 24.8623380309 24.8323307776 24.6722078223 24.4119202148 2.5234
1118 53.1835721 -27.9150773 25.8547711718 26.0628446816 25.1478828548 24.2760630042 2.87
1119 53.1690525 -27.9158458 25.5713305293 25.349635981 22.8177129992 22.0451739419 2.157
1121 53.1486885 -27.9154161 26.2550459191 26.041658759 24.7101716859 23.8273323157 2.408
1125 53.1683887 -27.9149755 25.2308280765 25.218046732 24.7874027521 24.2425781599 2.474
1132 53.0861393 -27.9148144 26.8277817653 29.1430828493 25.6088474756 24.7698702986 2.655
1134 53.1249283 -27.9150301 24.6774008175 24.7474665539 24.1336748666 23.9413289621 2.021
1137 53.1332614 -27.9147559 24.7983343848 24.762305254 24.1264442568 24.0152433457 1.537
1138 53.1708334 -27.9146636 24.2219260822 24.2116796807 24.0706156473 23.81096544 2.5391
1147 53.1483073 -27.9147345 25.7478248965 25.3629299949 24.198353239 22.9968375715 2.511
1153 53.1504334 -27.9142909 25.4458046884 25.3442478235 24.7245756198 24.8067611138 1.714
1163 53.0972866 -27.9143898 24.9195247852 24.977601706 24.079307451 24.0818705928 1.535
