#ID ICD_VJ ICD_VJ_ERR ston_V PR alpha_VJ
22079 0.0223494207203 0.000207151618212 100.021107972 8 1.2865398702
14851 0.122561114295 0.00983289093712 23.309923362 8 1.06207338275
4773 0.0322950562114 0.000610703414891 83.6842356683 12 1.77181260561
10401 0.022040660239 0.00363562273342 12.9807129011 7 2.52832231322
1977 0.0253818214119 0.00168482367015 40.9387034599 13 2.5502657638
7057 0.0537733735598 0.000146544558917 101.352914624 7 1.50898443016
5547 0.100065494748 0.00707547755308 21.1091912768 9 1.44586428879
24371 0.761561031174 0.0153979176423 2.92560175654 7 7.0264208721
14533 0.0383977701873 0.000179985452789 117.477562027 13 3.38522653384
7953 0.0516633121555 0.00450481341336 31.1775860874 16 1.44821319125
11701 0.35555705145 0.00342262125582 9.44716216054 13 2.81876814229
3347 0.0218463506417 0.000159392437531 224.204366834 7 0.755414659831
9407 0.0186545463439 0.00291228339369 150.706585196 10 1.12117006724
10960 0.037651232708 0.00523450859653 18.5785842385 8 1.55769890685
1339 0.0524267598246 0.00146695350182 58.8943022657 12 2.31511901188
10476 0.0448805728071 0.000192667325213 361.839574427 16 1.60607368855
3801 0.0211195798463 0.00268621537951 27.0250728658 7 1.69054226349
10574 0.0898605128227 0.00228239660597 28.3227028398 11 1.87383263333
2828 0.0865095728048 0.00622851524942 19.6289564701 15 3.39373864759
16905 0.226619893553 0.000600968214149 34.8267025459 15 2.94836119592
20503 0.00298662331467 0.00161248691569 25.8969768389 7 2.9415349057
20458 0.0311985035732 0.00133248239447 52.6369965839 7 1.27091772651
21679 0.0174350413513 0.00110189408161 33.638685748 11 3.37568281358
14096 0.0185904820311 0.00138299769537 46.695870938 9 1.02933906321
9206 0.0226374450626 0.00402158977773 9.6695102549 7 3.34952953051
21437 0.233214037251 0.00132104770949 30.6839231722 15 5.67430570191
1986 0.0216577281241 0.0075435588634 42.924571612 12 1.60337251946
12241 0.0269095460717 0.00307556193243 117.806213137 9 1.18051414687
7617 0.0481153912811 0.00133092814497 26.5779354895 7 2.04284985586
24369 0.104872325127 0.00364038222872 15.2263468602 16 5.24521703102
3227 0.0150393276486 0.000763364092683 84.0850273113 7 1.21319919969
7990 0.00846093406537 0.000733522500133 32.0413997644 6 2.46845207522
1860 0.0442251814312 0.00125713077466 86.9874606425 6 1.11342576996
20834 0.0411217048613 0.00173834331614 36.6190020875 18 1.91822760777
18901 0.036454089522 0.00212075512689 32.9115312385 8 1.68799878993
21391 0.870896741859 0.0080021857214 4.33714572459 16 2.34962022611
23845 0.0490675642439 0.000560427930377 34.9785807307 8 5.77012522274
21901 0.958728026861 0.00274377966581 0.707097213076 18 3.35035637752
2212 0.114079007098 0.00606586983371 26.7022618784 12 1.67462833891
21786 0.0818532392459 0.000149518524345 160.52091093 11 1.0714790155
17156 0.101828531508 0.0038564595376 17.0476080354 14 2.25649950809
19470 0.0185644301457 0.00209925812915 26.1072281013 8 2.22994560678
23037 0.0347838490415 0.00104790288486 52.2330614505 6 0.934830802925
18068 0.383139586993 0.0121811097674 7.24509176501 12 6.7194372681
17415 0.102182470348 0.000822425154892 46.6086055321 12 1.3218687094
18932 0.0309809547161 0.00395074908141 11.7300389956 7 3.84225485054
4106 0.0616792933245 0.00655488070555 14.3092681508 10 1.94369180093
26612 0.119499195305 0.022671303455 3.55981082697 6 9.23211009252
21700 0.0691686569577 0.00663156381602 14.213441103 6 1.23341435399
6382 0.0188242090829 0.000444042397973 39.6666355767 6 1.9686327787
10670 0.0426252561461 0.00261207384059 15.8052269231 7 2.29314146639
2434 0.0259170912279 0.00288690993336 31.9917776909 7 1.67722126608
12466 0.048770019084 0.00112638376668 14.8313271623 7 7.41682831673
12668 0.0472804100983 0.000708849065158 54.250235024 11 2.89833581089
25994 0.0318620396113 0.00112317043285 33.1231253002 10 2.16617592972
1134 0.0427663289223 0.00609307313937 37.1811504855 13 1.70136073067
3074 0.0255763806421 0.000911936439622 44.8173729418 8 2.56581401624
6278 0.0667097111075 3.21960059442e-05 112.557414329 8 6.2502765824
26610 0.00892478396271 0.0014097850294 39.7235665131 8 1.98263118305
1086 0.0958637654157 0.00436963293263 15.2235847624 6 3.99618941697
3564 0.015352609999 0.0041822621879 21.6360743283 16 1.83183472758
12207 0.0341485962063 0.000388470843686 43.7841257327 10 3.25906592693
8173 0.0139292168306 0.00317642276422 17.1062333035 8 2.7411854635
1439 0.0317396123019 0.00669139724477 28.9944270602 8 1.79029909154
13271 0.032549396809 3.6444511041e-05 208.691378378 6 1.83476370048
16556 0.0732904979585 0.00181508178627 22.2162414626 13 9.33486353325
17500 0.0511068976992 0.00176669389477 26.6652890665 12 2.9270812676
25418 0.460857428562 0.0292405872725 4.39670617068 10 4.0391627101
18222 0.0777071700134 0.00155882139028 35.474662456 8 1.49099257824
23465 0.0472768591625 0.00119521494059 35.0684840595 24 3.46875403744
7499 0.0620241869321 0.00214098903771 23.658037743 7 2.20883346543
1528 0.232041815631 0.00820270891386 14.8225140907 18 5.46102055631
19452 0.119422965941 0.000971998721193 40.7978901008 18 3.57107501784
12910 0.0496634092629 0.0040996532837 16.6566699183 11 2.27271251067
18493 0.0464187258205 0.00127202491788 44.5568342263 16 1.51032339365
2255 0.0425797622119 0.002485757247 58.2325759474 7 1.56727602864
7762 0.0275274180868 0.00222453164099 16.0677848402 7 3.00312871325
19364 0.0665250827486 0.00556263628742 15.6857554269 10 2.11797676329
20033 0.84923476968 0.00189878441592 10.6841078108 18 4.22104852174
2474 0.0982659583633 0.0210501800096 10.8550060663 8 2.53583314257
4006 0.100168418652 0.00184842066798 18.1658717093 10 3.63019134922
19306 0.039746707507 0.00443786499225 18.1814263608 9 1.74730958755
17523 0.178684620687 0.0182164623176 11.6239410268 10 1.38293651018
1137 0.0613788924728 0.00187377858165 46.8080419161 9 1.96448443786
