#ID ICD_IH ICD_IH_ERR ston_I PR alpha_IH
6112 0.166377850604 0.00758977802987 12.4986992368 17 3.29381618532
8323 0.0194380288891 0.00944763282522 15.6195630916 15 1.30545319606
22725 0.044781082267 0.00533313376886 14.6888399024 9 1.59723080486
13508 0.0578081078815 0.000607946660895 71.4288226342 23 11.8012561778
11238 0.177837671223 0.00619507569254 14.6927144617 15 2.22624256052
23914 0.0107807952533 0.00365558426534 19.8214486405 12 2.5174950836
1513 0.784270324486 0.00994080003201 26.4152634813 45 1.54873713828
12743 0.11406418615 0.000178020543563 104.523021386 11 5.08130602679
24419 0.125102311527 0.0110928709727 9.748899175 15 3.4808788811
1670 -0.0551381741671 0.0432547653852 8.49174374541 15 1.84898064691
19282 0.040433366712 0.0132595957217 6.77258063027 8 4.49031912535
5898 0.00660016226757 0.00364588868426 18.5251861864 8 1.90056167667
18076 0.0413121135892 0.00234331497829 28.5792643591 14 3.21854773079
26231 0.041835284599 0.00418529565411 9.25440908865 6 6.42910432086
3225 0.82903859535 0.018696596178 1.90334157877 7 2.99198427247
22272 0.719757228495 0.0320074039814 7.04653234298 34 0.544503096343
4275 0.471584396008 0.0045270453619 25.2992520572 17 1.38079114054
24644 0.526780629027 0.00882299972152 8.06783758094 17 3.4795534348
21470 0.0636204119955 0.00230945168463 32.5847397615 8 1.32397160323
1119 0.0789522701786 0.000942713026977 22.6343581273 11 21.6398400855
4246 0.016215956908 0.00183246059943 23.1860192858 7 2.37739692208
10009 0.0622913006717 0.0098061273588 9.36707223899 14 2.08796265893
7828 0.0797953054046 0.00812795079035 14.8677972975 15 1.52225750459
17488 0.0265131740636 0.000560769662606 53.410413264 12 1.0722650316
25929 0.0334975419273 0.00480622704744 15.3837708369 9 1.59866710009
11979 0.972286426812 0.0028033773855 5.57775768815 10 1.28100545991
22604 0.169689795878 0.0182753538558 6.37465052357 12 2.98026260719
5752 0.0653955986003 0.0380218002142 3.13209912639 6 6.17352323775
9833 0.0287812441212 0.00382581021701 10.7308919519 6 3.7693679982
8519 0.0229990029379 0.00283076380765 25.3897035196 10 1.51024072538
10790 0.0276824096215 0.000112960977655 68.8683999269 9 2.04423969964
2769 0.136019154711 0.0314718720195 10.2566817843 17 3.10656870685
16671 0.74691546059 0.0128673920092 5.25116511908 8 2.60071024044
23312 0.0746272863144 0.000321251805652 67.9527458489 12 3.11134922693
24116 0.0473274561778 0.00130991092986 23.6198464624 7 2.94359350856
5351 0.315650817675 0.00751526086981 13.7319499273 19 3.30697983322
5669 0.0492853609606 0.0213804931204 4.86675972434 9 2.37423982341
6017 0.777578225116 0.0169837189512 6.14731189004 11 0.990395295263
13271 0.0270256240039 3.20114530339e-05 211.853289064 6 2.29170983407
18489 0.270466144283 0.00286765910388 21.0858855056 13 2.76080616341
26009 0.0387641083267 0.00266567889305 12.2333129882 6 3.88271932275
19915 0.0384833991902 0.00415752134298 13.8558608949 10 4.40895233494
6549 0.0446812583485 0.000543953367625 33.2772235541 6 1.75972613524
6279 0.100185223254 0.0047293257761 15.2669925694 9 7.32503985599
25953 0.436908924065 0.0135907576594 12.51743347 14 1.33504825774
