#ID ICD_JH ICD_JH_ERR ston_J PR alpha_JH
2516 0.0231059063392 0.0114729219293 18.8354901737 10 1.17192695473
10767 0.00184997411083 2.49813260101e-05 295.824017416 7 1.35439321157
15972 0.000749223286688 0.000563969840235 119.241220878 8 1.01949678303
9948 -0.00450338763624 0.00507428179878 21.0116112914 5 1.7935467368
6854 -0.00111930957432 0.00324721950846 40.9736516365 12 1.19766634692
3594 0.00290668364985 0.00264813648388 36.1751684365 7 1.15717067279
1217 0.0818067464594 0.0226073718078 16.0998798455 13 1.11800517389
15011 0.0226041067332 5.92833083961e-05 330.480065579 20 1.44208191539
9947 0.118197758906 0.0170773001664 11.8124903789 10 1.40878171793
21139 -0.0067511429925 0.00179787693082 80.589435546 39 0.994344239796
1986 0.0600252646103 0.0113781203291 22.8150961036 14 1.27737588597
25537 0.0443481982624 0.00897607889866 17.6849018114 12 2.70612401091
12108 0.146089579118 0.0133680927943 12.3073365313 11 1.44882490329
12529 0.00214795832629 6.0427768225e-05 183.177025414 7 1.49580535578
813 0.33528576728 0.0305334041453 9.26332958 10 0.926198367773
22050 0.000158680645033 0.00345654530295 28.0311155089 9 1.37379304857
4463 0.157565776137 0.0314888828075 13.7259805279 14 0.599063412383
24618 0.00828674480922 0.00249655067372 48.1772361688 16 1.42168168975
4773 0.0203471750211 0.00133174471979 67.6973549218 12 1.11306011513
7098 0.0045609014612 0.00489213597155 37.4147714017 13 1.20551783697
7915 0.00148973812953 0.00187047374152 44.9831617736 8 1.24914926565
3428 0.00581225390508 0.00599751750247 29.8880932803 13 1.1477454857
9279 0.00703034767973 0.00172684220592 38.4388525244 7 1.54886382363
7246 0.0169839437376 0.000317915299292 114.925101714 22 1.95682755888
18562 0.0110104511257 0.000728526040905 71.4650366052 13 2.28200052544
8979 0.00420029889563 0.000867669562234 96.226541066 13 1.05909844211
16527 0.00191780319227 0.000218813356575 144.625565896 7 1.16975690152
12047 0.00717063900644 0.00131197221423 45.1670916309 6 1.3507808943
3790 0.00454834517574 0.000363405079886 136.602527266 16 1.4330489669
10243 0.00450409257827 0.000862954717322 59.7726335811 7 1.49293903864
12624 0.0063847189853 1.42866615155e-05 765.625415488 19 1.3520366012
2415 0.0321873229564 0.00400411661211 47.3505782994 17 1.31860501972
12402 0.00717103969425 0.000389601736637 117.695624062 9 0.844563850701
11820 0.00310016036401 2.87499872651e-05 225.374099965 6 2.50503546755
13012 0.00388149400535 0.000501588644289 61.556981159 9 1.45918133663
4219 0.00790301863766 0.00337293001255 34.4660441233 19 1.58053241718
229 0.038571336663 0.0101485171813 20.92843519 10 1.12882746741
4820 0.00399987508352 0.000243436257188 151.283076777 12 1.22882054671
26343 0.0250615387656 0.00312933035626 24.2431392283 7 1.40495334075
21923 0.00387297307265 0.00135754293675 59.1776705804 13 1.12711405921
21316 0.0853834801515 0.00422061861672 33.2827939434 13 1.05237373395
14561 0.0195499423497 0.00130399150658 51.8302738865 10 1.43847130981
13849 0.00406155106823 0.000502916883383 109.17438926 14 1.15658895565
13165 0.00765469212846 0.00126228350468 57.1309834339 10 1.4262127536
22666 0.00713086134002 0.00659861848851 23.9957705732 12 1.39691010566
8424 0.0419330053656 0.00561941282228 18.7343224435 7 1.12158832124
16471 0.00165993729431 0.0001711180808 111.617499246 7 1.61806591233
1513 0.280754956587 0.0147812942145 26.2562220583 45 0.995680496537
17864 0.00543679606086 0.00165968665476 61.450044142 12 1.08414570661
10918 0.00482766878571 0.000992644301224 60.2753901356 13 1.36074048187
24477 -0.0152862135316 0.0111903180377 17.7040888735 13 1.69876864643
21470 0.0266328962063 0.00219646337713 41.410026861 8 1.27115738636
8044 0.047337941502 0.0181789711048 14.5339864004 13 1.1476608575
6279 0.00566732143336 0.00038062100402 91.3665963636 9 1.60602308843
9552 0.0496182835471 0.0124275083287 17.5913213004 12 1.49532359428
5436 0.0120739208436 0.00627434164707 28.7170699646 18 1.34142558526
2594 0.00521990592738 0.0101711250262 25.59588539 8 0.838283398546
15118 0.00352247931844 0.00124998617482 58.1361082586 10 1.14800060133
23435 0.00591061310511 0.0207969498105 15.5678791922 20 1.06014885494
15864 0.317378161833 0.016493223205 8.33017716853 12 0.971723728572
25634 -0.00823271418904 0.00310567545859 39.3268015214 12 1.30457239872
26364 0.00202172900829 0.000686787786181 87.7542841027 10 0.986539227406
20027 0.0019663302428 0.0043495849865 19.0409953327 6 3.70132815762
8206 0.00646601073349 0.000331935279852 126.342545346 14 1.21258386137
1042 0.0341733776821 0.00521366828217 26.1370167284 9 1.01505512492
6359 0.00462541646646 0.00228320511901 49.9325595714 12 1.25528175968
18172 0.00833974227842 0.00210017021344 58.0373327996 15 1.05170961819
21018 0.0182967449604 0.00170719890225 33.9030434599 7 1.58369560591
15639 0.0240584366663 0.00666869213935 24.674950696 13 2.38646704199
21805 0.00342546340484 0.00223907650391 48.0997475312 9 1.24307783713
4331 0.0183160565203 0.000301360626174 119.026687306 13 1.98662435257
5385 0.0211375931969 0.0032903064979 28.2621627722 9 1.31498253648
22069 0.016700283774 0.000578417948875 43.0427909785 6 3.13195188507
14052 -0.00306625946585 0.00804387283517 21.6380469201 7 0.892545780695
12194 0.00377531134682 0.0016901783956 35.202225897 7 1.91753838686
7466 0.00375530639868 0.00151769570396 55.7201970414 10 1.15004093375
20061 0.00319700871746 0.00110376740164 57.6409039937 9 1.34066112951
5418 0.0050870463257 0.000840709574275 71.2739351497 10 1.29524563111
25960 -0.0382421642011 0.0241964480608 13.0732831198 8 1.18333258773
1544 0.0279357031634 0.00660944993482 23.4568880254 7 1.18681675489
26744 0.00707979990823 0.00141516352872 66.2319101819 26 1.10629560119
12511 0.00151891233523 0.00036721285771 105.194931046 10 1.22305677892
3023 0.176964805685 0.00733449992784 8.84808283589 8 1.20866537283
8531 0.00312215031656 0.000500480035282 84.2713143685 10 1.80559466153
25981 0.0321160246215 0.002025331276 28.7607798087 6 1.30118687045
20213 0.0172285336411 0.000581468275217 69.691492276 12 1.63406668083
10987 0.00390859691336 0.000510033578193 62.4372740762 6 1.64505700069
22877 0.0254197659139 0.00789295739877 23.6715597307 10 1.37359749841
5698 0.0376405884296 0.00750966140491 26.0364446077 8 1.22073222445
2828 0.0318375210808 0.00381742880268 30.8304567391 17 1.79137639933
2570 0.0944302756676 0.0147118197147 14.8963882586 9 1.50050525193
16052 0.00304370748203 0.000938903796887 50.6778074359 6 1.26198400449
22383 0.0318721642783 0.00431919366481 19.7143096927 8 1.5904390429
24854 0.00469516916747 5.30299876973e-05 214.03094116 7 1.30910333854
4595 0.00707759521583 0.00148378390384 41.2966035104 6 1.53483541168
5064 0.174182203068 0.0292551315967 9.65825472616 15 1.46303359417
16081 0.0850989979827 0.0129842569267 18.8363700992 14 1.10014563955
20587 0.0648713827093 0.00241124151537 42.0042905023 13 1.42054206887
1907 0.00300938171632 0.000277032521504 138.502779965 12 1.43908880194
20500 0.00656595506109 0.00226164605672 41.760646492 9 1.25209112109
25514 0.0125070504011 0.000540964781682 76.5409113739 10 1.57330305165
599 0.00331658997138 0.00117227411729 69.2621972819 10 1.30703282038
5249 -0.00466646689506 0.00474328977421 24.8237463979 7 1.66301243049
1623 0.0150163101502 0.0046706165089 22.3689314078 6 1.59310443589
16680 0.00126244226757 0.00234128741041 28.2669726736 7 1.32854570693
10663 0.0387558577614 0.000506727029607 108.137689332 13 1.21241997691
2500 0.0196428025305 0.00122368653737 37.7257464552 7 1.7043407566
16899 0.00897364887465 0.0014058662779 51.3821971694 6 0.770172336851
7930 0.0043750461851 0.0022937471926 52.5787180224 11 1.26262201227
6105 0.00446351795178 0.00165841502069 38.8831313766 6 1.50755970613
1646 -0.000894053256249 0.00145985282921 39.6654621703 8 1.39998678931
13751 0.00724634540091 0.000528320829713 82.2103523275 21 1.59629751684
24004 0.00827271344034 0.000493297344508 98.5309780774 9 1.18389768578
19915 0.00466862772064 0.00110290093213 52.0442940954 10 1.4785430425
25562 0.022600200787 0.00442056381135 24.4648018973 11 1.57372471333
8833 0.151573597973 0.0176405545841 8.56484311669 8 1.02856290868
16358 0.00227113688155 0.000118785609349 148.826400148 8 1.58149116602
5534 0.00981309594941 0.00249481372091 40.3317295048 9 1.21027633307
11128 0.0407443220728 0.0037983577349 30.0886032147 8 1.2401886159
6730 0.00809401654344 0.00101556360788 62.3347404954 9 1.48353876001
8555 0.0192420347158 0.00183475843786 54.4199604533 14 1.675601482
8902 0.00145195100246 0.000583614771054 91.1556719018 14 1.46952277196
8217 0.00587245701653 0.000206211546532 174.919141695 12 1.1129531193
1239 0.0801318748973 0.00654148831048 23.0618941292 11 1.46080788983
14633 0.0320661960128 0.00423370353968 29.7472824859 8 1.28582003272
1270 0.0232101073976 0.00463106984671 31.386413079 14 1.72635830473
16486 0.0475739032294 0.00851196407084 43.2691128246 26 0.898130111008
2841 0.162221526588 0.0153767025539 18.8717544604 13 0.863421933347
12271 0.0266507452014 0.00496648232762 21.6939523493 12 2.02652642072
2418 0.0118349693516 0.0180440980993 13.5277808107 10 1.18134519865
14533 0.00329477786702 0.000159470262457 216.065051567 13 1.12975040302
12018 0.007114874 0.00794854538268 21.1744868235 8 1.32294240712
24371 0.00475196284871 0.00158727455085 39.5342825406 7 1.76906528794
23800 0.00170025920857 0.0061677359935 20.6575859925 8 1.49185128411
20549 0.00787375643227 0.000979444183674 57.1844220287 8 1.13225947432
4224 0.0040872154161 0.00301866819611 26.7234953265 6 1.46995380177
6463 0.00265353794888 0.000181558201141 151.349280187 13 1.43931759904
7100 0.0107301450229 0.005379203305 23.2361923858 9 1.43135290023
15537 -0.00205417161604 0.00378672673168 32.8041696868 7 1.04592211984
2933 0.0182432377575 0.00235305775363 33.4621902606 7 0.975449451492
4453 0.0346957942008 0.00672697192554 29.5640301387 11 0.654418104131
21572 0.0018588428829 0.00136173613201 55.3366852058 10 1.13062451461
3593 0.0172427361338 0.00577485677949 22.1381436116 7 1.2883130631
24920 0.0288939675511 0.00351940116579 34.8028230508 15 1.1288043225
11821 0.0161497668376 0.0019924227514 42.2611943153 11 1.1986237849
2671 -0.00185743689567 0.0148767683216 18.2844029877 9 0.843823253602
10208 0.0711483700548 0.0190357129048 16.9426267729 16 0.883987399133
19351 0.00914803074162 0.00106129909643 54.1723514259 6 0.910044246802
4806 0.11906944402 0.0638808056065 7.6621847601 16 0.687713773323
26558 0.283950009375 0.0117556238365 15.2488197398 15 1.59531860354
11132 0.0337061577335 0.00484375448284 30.0591254338 17 2.23950697702
25772 0.00876405494924 0.00253128040574 31.7951119042 9 1.25261059672
22649 0.00309180546645 0.000754363502497 73.2904877954 11 1.51855410832
19797 0.00205857888927 0.000230977888135 137.752478958 8 1.0711724882
3382 0.0367319906691 0.0208012865796 22.1363611169 11 0.685785502369
15769 0.00433954410933 3.3756392955e-05 335.220908158 17 1.57745248149
8277 0.0942751444033 0.0116167587456 15.9460918656 8 1.02352642558
15397 0.00733167487336 0.000163172005634 130.639234354 8 1.48416950704
10494 0.0033111849355 0.00634909801666 25.5789462123 13 1.61646439715
23403 -0.00319580655808 0.00643530637707 23.5283423024 7 1.37450482505
3320 0.0194703951649 0.0075223608171 25.8445239618 11 0.892034323677
905 0.00851725756097 0.00358987531471 28.1369992899 7 1.33323743543
9497 0.00470825836447 0.000526130230219 64.7659620814 6 1.40668849256
18092 0.0184163552599 0.00282622940299 34.81958712 9 1.16650162003
9487 0.0138721205089 0.000833360383194 53.0551602873 6 1.66006554056
19495 0.00728110170346 0.00233326829708 33.7841144533 7 1.41532269897
12392 0.0810235365562 0.00958709718857 14.6499410725 6 1.02110560928
1676 -0.00626074828916 0.00661477569913 15.702629098 8 3.49210643173
25012 0.0275800998764 0.00263801238335 35.616261197 7 0.916703227687
2184 0.0159545389013 0.00528008495684 26.9329611583 6 0.876277961789
25810 0.00937021797982 0.000523315299457 120.939066153 16 1.48246455811
2769 -0.148141257178 0.0357028582904 14.4946774835 17 1.23630603371
15432 0.00428176536104 7.09079476819e-05 174.085016459 8 2.9202797282
20364 0.00342913463779 0.00110745746711 44.7455593931 6 1.39976105957
4049 0.0547528566474 0.00183759965474 44.0128760067 28 1.63576533207
6808 0.0023322527912 0.000371261797836 108.421546801 12 1.36398403636
355 0.0040558855388 0.0112091318071 15.0294923238 6 1.42780762638
4864 0.0319936865804 0.00312091569018 23.4932022251 7 1.56093207028
7311 -0.00607609154707 0.0069629779253 23.1274008296 9 1.07677985787
26777 0.0176455217451 0.00458889178211 42.7330810572 14 0.933052571651
2860 0.109214491806 0.017062314483 16.3393892923 16 1.30589589069
11119 0.00114970225101 0.00086238881971 65.1488174275 9 1.22569285943
3102 -0.000644904290379 0.00925235888108 17.1764555742 13 1.14905251001
10685 0.00231129028558 0.00198792344505 43.3282506795 9 1.57274380769
21285 0.0207478829867 0.0107917532426 17.0805232889 8 1.59611830171
16465 0.0175606829785 0.003435744269 39.1738333964 16 1.55166418188
13654 0.000780996167 0.00315853595153 43.3016354153 13 1.14194096782
10698 0.0150094299111 0.000281726289889 108.746340458 8 1.4084091146
3852 0.00976709874612 0.000635836018422 74.7637891613 13 1.08067807597
10688 0.00268291597923 0.00220919125517 34.308978746 7 1.42852640187
19027 0.0168530953739 0.00498694511215 28.9932178423 14 1.31805716819
23336 0.00450587174441 0.00385034385786 24.4123074176 7 1.91044527027
2669 -0.000176903834858 0.0129260414181 14.4836851311 7 1.45601889034
15237 0.00114434343271 0.000539692371718 73.8543603172 8 1.42939831483
12670 0.0368018607894 7.08873176508e-05 419.365659151 18 0.805168917505
2308 0.012340141124 0.00120997374855 49.7276225063 6 1.15923729732
7044 0.00181447013244 0.00254151421495 30.0338639039 6 1.30601348138
16703 0.000934247343569 0.00206470864652 48.9447241539 8 0.944147881906
21275 -0.00256656321708 0.00490401964291 37.1950529802 13 1.22194572715
22658 -0.0127934773981 0.00672213847824 22.3511298772 5 1.40569389492
25953 0.215788320205 0.0131228968619 18.7667406036 14 0.769788758294
2898 0.0340960384797 0.00598040347438 19.1910373939 10 1.47304798478
10612 0.0012973929674 0.000620142353893 72.0808169548 5 1.15544673477
18299 0.00850790279496 0.00734119647586 18.5643096147 9 1.59225515527
19282 0.0095339610387 0.00237178217471 34.6169734171 8 1.55465085406
23896 0.00912405355864 0.000181304888615 111.595080622 8 2.02747608511
2901 0.242336176455 0.0242138493992 12.3012436938 17 1.37826146005
4150 0.00813104980483 0.000291268256042 73.193702997 13 3.49467445113
1278 0.0583145659912 0.00364830257642 32.3747869017 17 1.41335764347
2615 0.0473760720672 0.00238817123609 36.188354507 9 1.36334443169
1759 0.081625710897 0.0194564882054 17.5997484013 10 1.00111407471
4180 0.0551613448775 0.00857507549672 22.4276322239 11 1.13706076859
5047 0.0516644149776 0.00394253626191 32.6165293165 21 1.86173070015
17147 0.00648724561907 0.000148170902593 115.662751375 6 1.81859520302
20608 0.0224770900543 0.00229644240717 39.3987058944 9 1.34289323737
15271 -0.0011120612814 0.0006796949896 92.6748934528 10 1.02854809869
3731 0.0199438613805 0.00374944503524 40.7062085334 14 0.983041473378
22004 0.00348529661604 0.00169089613033 48.7753490428 9 1.39972542572
15163 0.00578239214533 0.00172373381202 40.7249806935 8 1.25154236134
26688 0.00387821421757 0.000638980941813 83.0085451161 9 1.17535805836
16045 0.00791142059992 0.00654283286004 24.5877373578 15 1.27552349491
10023 0.0169686553087 0.00253206733484 36.3935055122 10 1.64054507825
19185 0.0207608958047 0.000618323165556 109.972512485 19 1.52953937533
26570 0.308674792568 0.0347308366923 9.137340317 11 1.0048238363
10426 0.286147093412 0.0238478817483 14.9259813974 22 0.926874570424
4301 0.00257035207092 0.00537056079216 26.1192691098 8 1.24799462049
23035 0.0549749691694 0.0152223027155 20.8570225702 19 1.36143260147
7261 0.00253579431089 0.00136441708544 59.7580434827 9 0.926901605159
5930 0.0123373835514 0.0114586355454 20.5995064312 8 1.14870658109
1185 0.0090118334968 0.0045372917015 21.6181089851 7 1.38113973048
24146 0.0144485647054 0.003677808762 32.7981683641 14 1.4636267279
739 0.0366824643026 0.0095133078567 16.1653958435 7 1.38476570645
11842 0.00290172097361 0.000117304564993 178.321471341 8 1.5173296385
13721 0.0103617998 0.0043929122633 27.5753078812 9 1.29430890809
26195 0.0120286646509 0.0005084432299 118.18079977 21 1.72502604092
11544 0.00288318093297 0.00283431656364 37.7607124052 9 1.24664480721
23611 0.0119243003254 0.00323607729512 23.1398853466 7 1.56812087025
8725 0.0030028923002 6.67639158637e-05 251.488991844 12 1.6885964388
7564 0.00173569631215 0.000432257145546 92.3537630935 7 0.984337195001
10133 0.0251643431077 0.00264333058352 33.968228724 13 1.50142232572
13573 0.0438124916391 0.00827988965363 20.6673732728 11 1.09124412797
9830 -0.00116331137071 0.000734995982886 74.6217717066 9 1.11546788364
19460 0.0147310304861 0.000623435990451 60.0972444039 6 1.54660550204
4246 0.0130444998499 0.00190494256216 34.2802519046 7 1.55817428324
9987 0.060455287001 0.00734638986314 24.2978282841 19 1.67715552847
21307 0.000625261320828 0.00124981638176 53.9791413946 8 1.27738418826
22123 0.00347007092646 3.3885634991e-05 324.945193608 8 1.47079745443
9834 0.0098695188429 0.000333971745509 93.5483345164 13 2.47019350571
4839 0.0492492554541 0.0230435895677 15.3458319591 15 1.00738283053
1109 0.00530733657917 0.0092376511892 20.7779302613 8 1.16314010634
5672 0.00845073486055 0.00149310608052 65.1308722687 10 1.12285745339
2619 0.0153679756343 0.00219837784354 45.5385797235 15 2.24172229608
3989 0.105823564437 0.0103921460933 14.1580855381 13 1.32085756471
3955 0.0128187703706 0.00247621296715 35.1958644156 6 1.15778484137
6429 0.000837543395527 0.00315667032126 29.0197224896 11 1.735908974
6251 0.00996382478112 0.00238153320244 34.4040511583 7 1.4323440938
20533 -0.00577064584513 0.0035672499551 27.7503048706 7 1.32059788858
4235 -0.00199417111734 0.00551317837203 29.6823391015 6 0.918959059114
684 -0.00128803108452 0.0185461297587 16.3644708332 13 1.1670002081
20255 0.00588427246543 0.00449990243022 29.3977305314 8 1.36148725458
11582 0.00346530415028 0.000524679522913 58.9331431528 7 3.4290304208
2482 0.0231826314079 0.036092434428 9.7764953902 9 1.35461530463
20935 0.00571297260138 0.000831351508843 59.7315942473 8 1.18838044992
19696 -0.00729639366968 0.0181961969633 25.1460487759 13 0.836780609123
6485 0.0356699190482 0.0203163242559 20.4058694112 8 0.747556229711
1047 0.0820222086212 0.0330794023136 13.0321911142 9 0.917183999325
5339 0.0164061977832 0.00259224607026 41.0392433513 10 1.49029884707
22602 0.010049126581 0.000483044854399 107.471861339 20 1.21778420231
